Approach,Parameters,Epochs,Last train loss,Best validation loss,Time,Train Batch Size,Validation Batch Size,Patience,Factor,hidden_size_node,hidden_size_edge,message_passing_steps,skip_connections,edge_connections,augment_nodes,augment_edges,global_features
LU,892,100,16.28041439,7.759020424,31.349107,5,1,5,1,6,8,3,TRUE,FALSE,TRUE,[True],0
LU,1192,100,15.09586339,7.130607033,33.962247,5,1,5,1,6,8,4,TRUE,FALSE,TRUE,[True],0
LU,1492,100,17.49270773,8.030036974,35.644275,5,1,5,1,6,8,5,TRUE,FALSE,TRUE,[True],0
LU,1792,100,15.36184134,7.277125883,36.6480281,5,1,5,1,6,8,6,TRUE,FALSE,TRUE,[True],0
LU,2092,100,14.66292486,6.951786566,37.7793893,5,1,5,1,6,8,7,TRUE,FALSE,TRUE,[True],0
LU,2392,100,16.57979608,7.778530073,38.6958118,5,1,5,1,6,8,8,TRUE,FALSE,TRUE,[True],0
LU,1022,100,17.49269977,8.072251844,31.9465512,5,1,5,1,6,10,3,TRUE,FALSE,TRUE,[True],0
LU,1366,100,15.16010242,7.124156094,34.1195744,5,1,5,1,6,10,4,TRUE,FALSE,TRUE,[True],0
LU,1710,100,15.32097235,6.997182846,35.0954628,5,1,5,1,6,10,5,TRUE,FALSE,TRUE,[True],0
LU,2054,100,14.92298584,7.003864527,36.312922,5,1,5,1,6,10,6,TRUE,FALSE,TRUE,[True],0
LU,2398,100,15.715974,7.191513395,37.4201759,5,1,5,1,6,10,7,TRUE,FALSE,TRUE,[True],0
LU,2742,100,15.09885774,7.240224266,38.3529672,5,1,5,1,6,10,8,TRUE,FALSE,TRUE,[True],0
LU,1152,100,16.25694399,7.53884244,31.9644916,5,1,5,1,6,12,3,TRUE,FALSE,TRUE,[True],0
LU,1540,100,17.12239475,7.584573126,34.2743771,5,1,5,1,6,12,4,TRUE,FALSE,TRUE,[True],0
LU,1928,100,14.60415583,6.790757561,37.5295912,5,1,5,1,6,12,5,TRUE,FALSE,TRUE,[True],0
LU,2316,100,14.56004372,7.009371424,38.1036669,5,1,5,1,6,12,6,TRUE,FALSE,TRUE,[True],0
LU,2704,100,13.70678473,6.463226509,40.2439071,5,1,5,1,6,12,7,TRUE,FALSE,TRUE,[True],0
LU,3092,100,16.16197143,7.47241931,40.4967733,5,1,5,1,6,12,8,TRUE,FALSE,TRUE,[True],0
LU,1282,100,15.83936219,7.241968679,37.3907343,5,1,5,1,6,14,3,TRUE,FALSE,TRUE,[True],0
LU,1714,100,15.66308823,7.276159382,39.2020564,5,1,5,1,6,14,4,TRUE,FALSE,TRUE,[True],0
LU,2146,100,13.72282405,6.646913671,39.7342475,5,1,5,1,6,14,5,TRUE,FALSE,TRUE,[True],0
LU,2578,100,15.48344622,7.087846708,40.3524907,5,1,5,1,6,14,6,TRUE,FALSE,TRUE,[True],0
LU,3010,100,14.62994528,6.821342182,40.1696414,5,1,5,1,6,14,7,TRUE,FALSE,TRUE,[True],0
